TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D52,All,cobweb4v,150,1,0.7454
D53,All,cobweb4v,150,1,0.7483
D54,All,cobweb4v,150,1,0.7517
D55,All,cobweb4v,150,1,0.7504
D56,All,cobweb4v,150,1,0.7523
D57,All,cobweb4v,150,1,0.7532
D58,All,cobweb4v,150,1,0.7598
D59,All,cobweb4v,150,1,0.7621
D60,All,cobweb4v,150,1,0.7658
D61,All,cobweb4v,150,1,0.7655
D62,All,cobweb4v,150,1,0.7658
D63,All,cobweb4v,150,1,0.768
D64,All,cobweb4v,150,1,0.7671
D65,All,cobweb4v,150,1,0.7671
D66,All,cobweb4v,150,1,0.7705
D67,All,cobweb4v,150,1,0.7735
D68,All,cobweb4v,150,1,0.7743
D69,All,cobweb4v,150,1,0.7762
D70,All,cobweb4v,150,1,0.7767
D71,All,cobweb4v,150,1,0.7753
D72,All,cobweb4v,150,1,0.7746
D73,All,cobweb4v,150,1,0.7776
D74,All,cobweb4v,150,1,0.7767
D75,All,cobweb4v,150,1,0.7763
D76,All,cobweb4v,150,1,0.7782
D77,All,cobweb4v,150,1,0.7767
D78,All,cobweb4v,150,1,0.7763
D79,All,cobweb4v,150,1,0.7785
D80,All,cobweb4v,150,1,0.7803
D81,All,cobweb4v,150,1,0.7846
D82,All,cobweb4v,150,1,0.7871
D83,All,cobweb4v,150,1,0.7877
D84,All,cobweb4v,150,1,0.7879
D85,All,cobweb4v,150,1,0.7881
D86,All,cobweb4v,150,1,0.7892
D87,All,cobweb4v,150,1,0.7904
D88,All,cobweb4v,150,1,0.7939
D89,All,cobweb4v,150,1,0.7955
D90,All,cobweb4v,150,1,0.7912
D91,All,cobweb4v,150,1,0.7945
D92,All,cobweb4v,150,1,0.7941
D93,All,cobweb4v,150,1,0.7942
D94,All,cobweb4v,150,1,0.7968
D95,All,cobweb4v,150,1,0.7984
D96,All,cobweb4v,150,1,0.7987
D97,All,cobweb4v,150,1,0.8001
D98,All,cobweb4v,150,1,0.8013
D99,All,cobweb4v,150,1,0.8033
D100,All,cobweb4v,150,1,0.8048
D1,All,cobweb4v,550,1,0.2031
D2,All,cobweb4v,550,1,0.2702
D3,All,cobweb4v,550,1,0.2329
D4,All,cobweb4v,550,1,0.339
D5,All,cobweb4v,550,1,0.4087
D6,All,cobweb4v,550,1,0.392
D7,All,cobweb4v,550,1,0.4186
D8,All,cobweb4v,550,1,0.4318
D9,All,cobweb4v,550,1,0.4662
D10,All,cobweb4v,550,1,0.4952
D11,All,cobweb4v,550,1,0.5109
D12,All,cobweb4v,550,1,0.5237
D13,All,cobweb4v,550,1,0.5341
D14,All,cobweb4v,550,1,0.5646
D15,All,cobweb4v,550,1,0.5707
D16,All,cobweb4v,550,1,0.58
D17,All,cobweb4v,550,1,0.5936
D18,All,cobweb4v,550,1,0.6067
D19,All,cobweb4v,550,1,0.62
D20,All,cobweb4v,550,1,0.6301
D21,All,cobweb4v,550,1,0.6326
D22,All,cobweb4v,550,1,0.6411
D23,All,cobweb4v,550,1,0.6514
D24,All,cobweb4v,550,1,0.6671
D25,All,cobweb4v,550,1,0.6731
D26,All,cobweb4v,550,1,0.6783
D27,All,cobweb4v,550,1,0.6819
D28,All,cobweb4v,550,1,0.6828
D29,All,cobweb4v,550,1,0.6832
D30,All,cobweb4v,550,1,0.6908
D31,All,cobweb4v,550,1,0.6933
D32,All,cobweb4v,550,1,0.698
D33,All,cobweb4v,550,1,0.6971
D34,All,cobweb4v,550,1,0.7023
D35,All,cobweb4v,550,1,0.7124
D36,All,cobweb4v,550,1,0.7056
D37,All,cobweb4v,550,1,0.7125
D38,All,cobweb4v,550,1,0.709
D39,All,cobweb4v,550,1,0.7153
D40,All,cobweb4v,550,1,0.7213
D41,All,cobweb4v,550,1,0.7257
D42,All,cobweb4v,550,1,0.7303
D43,All,cobweb4v,550,1,0.7284
D44,All,cobweb4v,550,1,0.7249
D45,All,cobweb4v,550,1,0.7255
D46,All,cobweb4v,550,1,0.7299
D47,All,cobweb4v,550,1,0.7242
D48,All,cobweb4v,550,1,0.7291
D49,All,cobweb4v,550,1,0.738
D50,All,cobweb4v,550,1,0.7353
D51,All,cobweb4v,550,1,0.7353
D52,All,cobweb4v,550,1,0.7358
D53,All,cobweb4v,550,1,0.7377
D54,All,cobweb4v,550,1,0.7395
D55,All,cobweb4v,550,1,0.7385
D56,All,cobweb4v,550,1,0.7363
D57,All,cobweb4v,550,1,0.7358
D58,All,cobweb4v,550,1,0.7351
D59,All,cobweb4v,550,1,0.7357
D60,All,cobweb4v,550,1,0.7358
D61,All,cobweb4v,550,1,0.7367
D62,All,cobweb4v,550,1,0.7514
D63,All,cobweb4v,550,1,0.7519
D64,All,cobweb4v,550,1,0.7501
D65,All,cobweb4v,550,1,0.7574
D66,All,cobweb4v,550,1,0.7623
D67,All,cobweb4v,550,1,0.7612
D68,All,cobweb4v,550,1,0.7627
D69,All,cobweb4v,550,1,0.7642
D70,All,cobweb4v,550,1,0.7632
D71,All,cobweb4v,550,1,0.7659
D72,All,cobweb4v,550,1,0.769
D73,All,cobweb4v,550,1,0.769
D74,All,cobweb4v,550,1,0.7693
D75,All,cobweb4v,550,1,0.7693
D76,All,cobweb4v,550,1,0.7695
D77,All,cobweb4v,550,1,0.7711
D78,All,cobweb4v,550,1,0.7707
D79,All,cobweb4v,550,1,0.7727
D80,All,cobweb4v,550,1,0.7752
D81,All,cobweb4v,550,1,0.7758
D82,All,cobweb4v,550,1,0.7781
D83,All,cobweb4v,550,1,0.7794
D84,All,cobweb4v,550,1,0.7789
D85,All,cobweb4v,550,1,0.7802
D86,All,cobweb4v,550,1,0.7819
D87,All,cobweb4v,550,1,0.7884
D88,All,cobweb4v,550,1,0.7894
D89,All,cobweb4v,550,1,0.7907
D90,All,cobweb4v,550,1,0.792
D91,All,cobweb4v,550,1,0.7953
D92,All,cobweb4v,550,1,0.7992
D93,All,cobweb4v,550,1,0.8031
D94,All,cobweb4v,550,1,0.8045
D95,All,cobweb4v,550,1,0.8071
D96,All,cobweb4v,550,1,0.802
D97,All,cobweb4v,550,1,0.8036
D98,All,cobweb4v,550,1,0.7997
D99,All,cobweb4v,550,1,0.7981
D100,All,cobweb4v,550,1,0.7984
D1,All,cobweb4v,456,1,0.1449
D2,All,cobweb4v,456,1,0.2262
D3,All,cobweb4v,456,1,0.3209
D4,All,cobweb4v,456,1,0.3328
D5,All,cobweb4v,456,1,0.3744
D6,All,cobweb4v,456,1,0.4183
D7,All,cobweb4v,456,1,0.4332
D8,All,cobweb4v,456,1,0.4595
D9,All,cobweb4v,456,1,0.4605
D10,All,cobweb4v,456,1,0.5224
D11,All,cobweb4v,456,1,0.5297
D12,All,cobweb4v,456,1,0.5354
D13,All,cobweb4v,456,1,0.537
D14,All,cobweb4v,456,1,0.5652
D15,All,cobweb4v,456,1,0.5853
D16,All,cobweb4v,456,1,0.5786
D17,All,cobweb4v,456,1,0.5894
D18,All,cobweb4v,456,1,0.6109
D19,All,cobweb4v,456,1,0.6199
D20,All,cobweb4v,456,1,0.6384
D21,All,cobweb4v,456,1,0.64
D22,All,cobweb4v,456,1,0.6562
D23,All,cobweb4v,456,1,0.6599
D24,All,cobweb4v,456,1,0.6536
D25,All,cobweb4v,456,1,0.663
D26,All,cobweb4v,456,1,0.6567
D27,All,cobweb4v,456,1,0.6434
D28,All,cobweb4v,456,1,0.65
D29,All,cobweb4v,456,1,0.6597
D30,All,cobweb4v,456,1,0.6654
D31,All,cobweb4v,456,1,0.6696
D32,All,cobweb4v,456,1,0.6735
D33,All,cobweb4v,456,1,0.6772
D34,All,cobweb4v,456,1,0.679
D35,All,cobweb4v,456,1,0.6786
D36,All,cobweb4v,456,1,0.6795
D37,All,cobweb4v,456,1,0.684
D38,All,cobweb4v,456,1,0.6875
D39,All,cobweb4v,456,1,0.6859
D40,All,cobweb4v,456,1,0.6954
D41,All,cobweb4v,456,1,0.6984
D42,All,cobweb4v,456,1,0.7023
D43,All,cobweb4v,456,1,0.7075
D44,All,cobweb4v,456,1,0.7228
D45,All,cobweb4v,456,1,0.7232
D46,All,cobweb4v,456,1,0.7229
