TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D2,L0,fc-replay,450,2,0.971806169
D3,L0,fc-replay,450,2,0.924229085
D4,L0,fc-replay,450,2,0.794713676
D5,L0,fc-replay,450,2,0.705726862
D6,L0,fc-replay,450,2,0.439647585
D7,L0,fc-replay,450,2,0.39471367
D8,L0,fc-replay,450,2,0.254625559
D9,L0,fc-replay,450,2,0.223788545
D10,L0,fc-replay,450,2,0.185022026
D1,L0,fc-cnn-replay,789,2,0.992951512
D2,L0,fc-cnn-replay,789,2,0.98237884
D3,L0,fc-cnn-replay,789,2,0.962114513
D4,L0,fc-cnn-replay,789,2,0.909251094
D5,L0,fc-cnn-replay,789,2,0.898678422
D6,L0,fc-cnn-replay,789,2,0.81145376
D7,L0,fc-cnn-replay,789,2,0.533920705
D8,L0,fc-cnn-replay,789,2,0.749779761
D9,L0,fc-cnn-replay,789,2,0.577092528
D10,L0,fc-cnn-replay,789,2,0.311894268
D1,L0,fc-replay,0,2,0.96414727
D2,L0,fc-replay,0,2,0.883720934
D3,L0,fc-replay,0,2,0.788759708
D4,L0,fc-replay,0,2,0.586240292
D5,L0,fc-replay,0,2,0.159883723
D6,L0,fc-replay,0,2,0.162790701
D7,L0,fc-replay,0,2,0.03391473
D8,L0,fc-replay,0,2,0.024224807
D9,L0,fc-replay,0,2,0.035852712
D10,L0,fc-replay,0,2,0.034883723
D1,L0,fc-replay,50,2,0.99387753
D2,L0,fc-replay,50,2,0.979591846
D3,L0,fc-replay,50,2,0.929591835
D4,L0,fc-replay,50,2,0.583673477
D5,L0,fc-replay,50,2,0.460204095
D6,L0,fc-replay,50,2,0.454081625
D7,L0,fc-replay,50,2,0.335714281
D8,L0,fc-replay,50,2,0.435714275
D9,L0,fc-replay,50,2,0.436734706
D10,L0,fc-replay,50,2,0.346938789
D1,L0,fc-replay,789,2,0.983168304
D2,L0,fc-replay,789,2,0.921782196
D3,L0,fc-replay,789,2,0.714851499
D4,L0,fc-replay,789,2,0.472277224
D5,L0,fc-replay,789,2,0.316831678
D6,L0,fc-replay,789,2,0.086138614
D7,L0,fc-replay,789,2,0.036633663
D8,L0,fc-replay,789,2,0.006930693
D9,L0,fc-replay,789,2,0.016831683
D10,L0,fc-replay,789,2,0.011881188
D1,L0,fc-replay,123,2,0.964980543
D2,L0,fc-replay,123,2,0.934824884
D3,L0,fc-replay,123,2,0.774319053
D4,L0,fc-replay,123,2,0.687743187
D5,L0,fc-replay,123,2,0.539883256
D6,L0,fc-replay,123,2,0.130350187
D7,L0,fc-replay,123,2,0.123540856
D8,L0,fc-replay,123,2,0.082684822
D9,L0,fc-replay,123,2,0.087548636
